STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNWD,TAVG,TMAX,TMIN
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,23.02.2016,,,31,,25.8
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,28.02.2016,,,33.3,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,08.03.2016,,,30,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,29.03.2016,,,32,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,30.03.2016,,,29.1,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,31.03.2016,,,30.4,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,01.04.2016,,,29.7,31.4,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,02.04.2016,,,27.6,,25.4
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,03.04.2016,,,27.4,,24
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,07.04.2016,,,29.2,32.3,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,08.04.2016,,,28.4,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,09.04.2016,,,28.9,,25
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,11.04.2016,,,28.9,33,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,12.04.2016,,,27.8,31.4,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,13.04.2016,,,29.1,,23.4
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,16.04.2016,,,31.5,34.2,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,17.04.2016,,,28.9,,25
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,18.04.2016,,,26.4,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,20.04.2016,,,30.4,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,21.04.2016,,,33.4,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,22.04.2016,,,30.4,,25
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,23.04.2016,,,25.4,,24.8
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,25.04.2016,,,28.2,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,01.05.2016,,,29.9,34,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,02.05.2016,,,27.6,,25
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,03.05.2016,,,26.7,,23
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,04.05.2016,,,26,,24.1
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,07.05.2016,,,27.1,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,11.05.2016,,,30.3,34.5,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,12.05.2016,,,27.2,,23
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,17.05.2016,,,28.9,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,18.05.2016,,,29.3,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,20.05.2016,,,29,,25
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,22.05.2016,,,27,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,23.05.2016,,,27.8,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,24.05.2016,,,25.7,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,26.05.2016,,,29.8,,23.3
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,27.05.2016,,,27.2,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,28.05.2016,,,30.3,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,29.05.2016,6.1,,24.8,28.5,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,31.05.2016,,,29.1,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,01.06.2016,,,28.4,,24.8
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,02.06.2016,,,26.8,29,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,03.06.2016,,,27.9,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,04.06.2016,,,28.6,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,05.06.2016,,,27.4,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,06.06.2016,,,28.8,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,07.06.2016,,,24.4,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,08.06.2016,,,27.8,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,09.06.2016,,,25.5,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,10.06.2016,,,28.9,,22.3
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,11.06.2016,,,27.6,,24
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,12.06.2016,,,26.6,29.2,24.2
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,13.06.2016,,,26.1,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,14.06.2016,,,27.2,31.2,22.6
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,15.06.2016,,,26.2,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,16.06.2016,,,26.2,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,17.06.2016,,,26.9,,22
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,18.06.2016,,,26.9,,23
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,19.06.2016,,,25.2,27.2,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,20.06.2016,,,26.5,28.5,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,21.06.2016,,,26.1,,20.6
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,22.06.2016,,,28.6,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,23.06.2016,,,26.4,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,24.06.2016,,,28,31.6,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,25.06.2016,,,28.4,,23
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,26.06.2016,,,26.8,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,27.06.2016,,,26.9,30.5,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,28.06.2016,,,27.5,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,29.06.2016,,,25.4,30.2,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,30.06.2016,,,24.8,,23
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,01.07.2016,,,27.1,32.2,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,02.07.2016,,,28.1,32,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,03.07.2016,,,26.6,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,05.07.2016,,,25.6,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,06.07.2016,,,25.2,29.6,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,07.07.2016,,,26.4,32.5,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,08.07.2016,,,26.7,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,10.07.2016,,,25.4,27,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,11.07.2016,,,25.9,,22.8
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,12.07.2016,,,23.6,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,13.07.2016,,,26.2,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,14.07.2016,,,25.2,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,15.07.2016,,,24.1,25,
